SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-24-2019,Single Family Residential,2604 Fulano Way,Las Vegas,NV,89102,735000,4,4.0,RANCHO BONITO UNIT #4,3942,12632,1985,714,186,,Sold,,,http://www.redfin.com/NV/Las-Vegas/2604-Fulano-Way-89102/home/29459998,GLVAR,2103092,N,Y,36.1496254,-115.1773134
PAST SALE,February-19-2021,Single Family Residential,353 Manzanita St,Henderson,NV,89014,295000,3,2.5,Park Mesa,1531,4356,1984,230,193,,Sold,,,http://www.redfin.com/NV/Henderson/353-Manzanita-St-89014/home/29662830,GLVAR,2264828,N,Y,36.0529111,-115.0639519
PAST SALE,July-31-2020,Single Family Residential,6291 Mustang Spg,Las Vegas,NV,89139,485000,5,3.0,Woodbridge 2 At Pinnacle Peaks,3558,6098,2013,433,136,55,Sold,,,http://www.redfin.com/NV/Las-Vegas/6291-Mustang-Spring-Ave-89139/home/52621911,GLVAR,2202135,N,Y,36.0397577,-115.2299037
PAST SALE,June-25-2021,Single Family Residential,4141 Rancho Crossing St,Las Vegas,NV,89130,440000,5,3.5,Rancho & Jones Phase 1,2718,3920,2020,104,162,55,Sold,,,http://www.redfin.com/NV/Las-Vegas/4141-Rancho-Crossing-St-89130/home/169228770,GLVAR,2292912,N,Y,36.2363033,-115.2278887
PAST SALE,July-2-2020,Single Family Residential,3433 Tuscany Vlg,Las Vegas,NV,89129,291500,3,2.0,Tuscany Village Northshore,1360,4356,1997,462,214,27,Sold,,,http://www.redfin.com/NV/Las-Vegas/3433-Tuscany-Village-Dr-89129/home/29127388,GLVAR,2198661,N,Y,36.2235497,-115.274382
PAST SALE,April-29-2021,Single Family Residential,5845 Red Ridge Cir,North Las Vegas,NV,89031,358500,4,2.5,Eldorado-Rcl,1817,5227,1990,161,197,12,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5845-Red-Ridge-Cir-89031/home/29078682,GLVAR,2281247,N,Y,36.266983,-115.1612404
PAST SALE,February-5-2020,Single Family Residential,189 Bethany St,Henderson,NV,89074,480000,4,3.0,SUMMERHILL UNIT 1 AMD,2951,7841,1990,610,163,82,Sold,,,http://www.redfin.com/NV/Henderson/189-Bethany-St-89074/home/29674652,GLVAR,2153217,N,Y,36.0394947,-115.0752806
PAST SALE,April-7-2021,Single Family Residential,7528 Crystal Isle Way,Las Vegas,NV,89128,380000,4,2.5,Ridgeview West,2096,5227,1991,183,181,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7528-Crystal-Isle-Way-89128/home/29197387,GLVAR,2270600,N,Y,36.1884816,-115.2574342
PAST SALE,April-21-2020,Single Family Residential,9072 Pebble Vw,Henderson,NV,89074,320000,3,2.5,Seasons At Pebble Canyon Unit 2,1531,6098,1994,534,209,16,Sold,,,http://www.redfin.com/NV/Henderson/9072-Pebble-View-Ct-89074/home/29635329,GLVAR,2179317,N,Y,36.0244714,-115.1134801
PAST SALE,December-23-2020,Single Family Residential,6150 Empress Woods Ct,Las Vegas,NV,89148,396500,5,3.0,Chandler Park,2460,3485,2017,288,161,60,Sold,,,http://www.redfin.com/NV/Las-Vegas/6150-Empress-Woods-Ct-89148/home/144626576,GLVAR,2244719,N,Y,36.0769824,-115.2898503
PAST SALE,April-12-2021,Single Family Residential,3714 Asia Rd,North Las Vegas,NV,89032,355000,3,2.5,Laredo At Davyn Ridge,2461,4356,2018,178,144,42,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3714-Asia-Rd-89032/home/145869732,GLVAR,2279666,N,Y,36.2268541,-115.1966812
PAST SALE,February-28-2020,Single Family Residential,9870 Silver Dew St,Las Vegas,NV,89183,360000,3,2.5,SILVERADO TRAILS SOUTH,1930,5227,1998,587,187,19,Sold,,,http://www.redfin.com/NV/Las-Vegas/9870-Silver-Dew-St-89183/home/29637522,GLVAR,2158152,N,Y,36.0106365,-115.123533
PAST SALE,June-15-2021,Single Family Residential,4947 Breaking Dawn Ct,Las Vegas,NV,89139,425000,3,2.5,Decatur & Mesa Verde,2389,3485,2016,114,178,43,Sold,,,http://www.redfin.com/NV/Las-Vegas/4947-Breaking-Dawn-Ct-89139/home/109869868,GLVAR,2297227,N,Y,36.0465276,-115.2084842
PAST SALE,September-17-2020,Single Family Residential,2064 Waverly Cir,Henderson,NV,89014,331000,3,2.5,Warm Spgs Reserve,1470,5227,1988,385,225,27,Sold,,,http://www.redfin.com/NV/Henderson/2064-Waverly-Cir-89014/home/29657791,GLVAR,2216058,N,Y,36.0534995,-115.0793811
PAST SALE,March-24-2021,Single Family Residential,2663 Sunday Grace Dr,Henderson,NV,89052,600000,5,3.0,Southfork Parcel 4,3181,9853,2001,197,189,73,Sold,,,http://www.redfin.com/NV/Henderson/2663-Sunday-Grace-Dr-89052/home/29875859,GLVAR,2268615,N,Y,36.0091596,-115.1037048
PAST SALE,October-19-2020,Single Family Residential,7651 Lots Hills Dr,Las Vegas,NV,89179,290000,3,2.5,Jasmine Falls At Mountains Edge - Phase 2,1740,2178,2014,353,167,38,Sold,,,http://www.redfin.com/NV/Las-Vegas/7651-Hills-Dr-89179/home/65558925,GLVAR,2205767,N,Y,35.9952242,-115.2584993
PAST SALE,September-29-2020,Single Family Residential,7275 Mann St,Las Vegas,NV,89118,405000,4,3.0,Warm Spgs / Jones,2641,3485,2018,373,153,24,Sold,,,http://www.redfin.com/NV/Las-Vegas/7275-S-Mann-St-89118/home/147874778,GLVAR,2220549,N,Y,36.0568212,-115.2319327
PAST SALE,February-13-2020,Single Family Residential,9332 Tall Wood Ln,Las Vegas,NV,89129,270000,3,2.5,SKY CANYON,1560,4356,1996,602,173,,Sold,,,http://www.redfin.com/NV/Las-Vegas/9332-Tall-Wood-Ln-89129/home/29123237,GLVAR,2157847,N,Y,36.2220538,-115.2988297
PAST SALE,July-31-2020,Single Family Residential,5448 Painted Gorge Dr,Las Vegas,NV,89149,430000,4,3.0,Canyon Creek,2409,9583,1994,433,178,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5448-Painted-Gorge-Dr-89149/home/29098139,GLVAR,2206599,N,Y,36.2610935,-115.2718585
PAST SALE,May-7-2021,Single Family Residential,4754 Antelope Wells Dr,Las Vegas,NV,89129,475000,3,2.5,Canyon Ranch Estate,1992,9583,1991,153,238,100,Sold,,,http://www.redfin.com/NV/Las-Vegas/4754-Antelope-Wells-Dr-89129/home/29118141,GLVAR,2283053,N,Y,36.2469388,-115.256184
PAST SALE,May-14-2021,Single Family Residential,5501 Riverwood Ct,Las Vegas,NV,89149,390000,3,2.5,Viscaya,2001,5663,1989,146,195,146,Sold,,,http://www.redfin.com/NV/Las-Vegas/5501-Riverwood-Ct-89149/home/29098523,GLVAR,2283456,N,Y,36.2619934,-115.2661861
PAST SALE,October-9-2019,Single Family Residential,4501 Vogue St,Las Vegas,NV,89129,360000,3,2.5,ELEGANCE,2060,6098,1995,729,175,,Sold,,,http://www.redfin.com/NV/Las-Vegas/4501-Vogue-St-89129/home/29118674,GLVAR,2131592,N,Y,36.2425827,-115.2533129
PAST SALE,August-21-2020,Single Family Residential,1012 Robust Ave,North Las Vegas,NV,89031,395000,5,4.0,Geyser Peak 1,3097,8276,2006,412,128,75,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1012-Robust-Ave-89081/home/28967256,GLVAR,2214301,N,Y,36.2705644,-115.1288374
PAST SALE,August-20-2021,Single Family Residential,2821 Cozy Ct,North Las Vegas,NV,89032,525000,3,2.0,Tiffany Estate,1772,19602,1999,48,296,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2821-Cozy-Ct-89032/home/29249326,GLVAR,2309188,N,Y,36.2294858,-115.1793514
PAST SALE,,Single Family Residential,2189 Lovely Rita Ct,Henderson,NV,89074,395000,3,2.5,,1481,3485,1994,,267,,,,,http://www.redfin.com/NV/Henderson/2189-Lovely-Rita-Ct-89074/home/29679928,,,N,Y,36.0320803,-115.0855896
PAST SALE,September-8-2020,Single Family Residential,1013 Grey Hollow Ave,North Las Vegas,NV,89031,300000,3,2.0,Eldorado-R1-90 #3,1915,10454,1990,394,157,12,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1013-Grey-Hollow-Ave-89031/home/29079470,GLVAR,2217629,N,Y,36.2647579,-115.1562841
PAST SALE,June-30-2020,Single Family Residential,7337 Charreado,Las Vegas,NV,89179,347000,5,3.0,Chaco Canyon At Mountains Edge,2785,4356,2007,464,125,11,Sold,,,http://www.redfin.com/NV/Las-Vegas/7337-Charreado-Ct-89179/home/29769680,GLVAR,2198772,N,Y,35.9886133,-115.2521089
PAST SALE,May-26-2020,Single Family Residential,8440 Gilmore Ave,Las Vegas,NV,89129,250000,4,2.5,Copperhead-Unit 6,1662,3920,1997,499,150,13,Sold,,,http://www.redfin.com/NV/Las-Vegas/8440-W-Gilmore-Ave-89129/home/29126639,GLVAR,2183995,N,Y,36.2307331,-115.2773918
PAST SALE,May-22-2021,Single Family Residential,3140 Viking Rd,Las Vegas,NV,89121,1155000,5,6.5,,6685,27443,1993,138,173,,Sold,,,http://www.redfin.com/NV/Las-Vegas/3140-E-Viking-Rd-89121/home/29475323,GLVAR,2286340,N,Y,36.1189713,-115.106693
PAST SALE,,Single Family Residential,3912 Mineola Way,North Las Vegas,NV,89032,247000,3,2.0,,1208,5663,1995,,204,,,,,http://www.redfin.com/NV/North-Las-Vegas/3912-Mineola-Way-89032/home/29248284,,,N,Y,36.2309568,-115.1858127
PAST SALE,June-4-2021,Single Family Residential,612 Spritlake Ct,North Las Vegas,NV,89032,340000,3,2.0,Craig Revere 80,1507,6098,1999,125,226,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/612-Spritlake-Ct-89032/home/29237060,GLVAR,2291670,N,Y,36.2333134,-115.1494052
PAST SALE,March-12-2021,Single Family Residential,410 Hopedale Ave,North Las Vegas,NV,89032,307800,3,2.0,Brentwood,1719,6098,2001,209,179,13,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/410-Hopedale-Ave-89032/home/29237056,GLVAR,2265389,N,Y,36.2355996,-115.1465564
PAST SALE,September-16-2020,Single Family Residential,3789 Via Di Girolamo Ave,Henderson,NV,89052,486000,3,3.0,Capella,2850,6098,2007,386,171,88,Sold,,,http://www.redfin.com/NV/Henderson/3789-Via-Di-Girolamo-Ave-89052/home/29495824,GLVAR,2220089,N,Y,35.992379,-115.1541069
PAST SALE,December-31-2019,Single Family Residential,228 Hanley Way,Henderson,NV,89074,380000,5,3.0,WESTWOOD VILLAGE,2140,6534,1996,646,178,14,Sold,,,http://www.redfin.com/NV/Henderson/228-Hanley-Way-89074/home/29658314,GLVAR,2131178,N,Y,36.0440268,-115.0861456
PAST SALE,December-2-2020,Single Family Residential,2496 Ram Crossing Way,Henderson,NV,89074,600000,5,3.5,Masters,3998,7841,1994,309,150,125,Sold,,,http://www.redfin.com/NV/Henderson/2496-Ram-Crossing-Way-89074/home/29678048,GLVAR,2239615,N,Y,36.0375926,-115.0945546
PAST SALE,August-25-2021,Single Family Residential,8071 Dolce Flore Ave,Las Vegas,NV,89178,790000,5,3.0,Mountains Edge 116,4363,10019,2006,43,181,48,Sold,,,http://www.redfin.com/NV/Las-Vegas/8071-Dolce-Flore-Ave-89178/home/29068115,GLVAR,2304516,N,Y,36.0135233,-115.2680615
PAST SALE,October-2-2020,Single Family Residential,3100 Ocean View Dr,Las Vegas,NV,89117,307000,3,2.5,Lakes,1609,4792,1989,370,191,26,Sold,,,http://www.redfin.com/NV/Las-Vegas/3100-Ocean-View-Dr-89117/home/29530246,GLVAR,2224889,N,Y,36.1353282,-115.3020707
PAST SALE,June-7-2021,Single Family Residential,9132 Dove River Rd,Las Vegas,NV,89134,420000,3,2.0,Willow Tree #3 By Lewis Homes,1838,5663,1994,122,229,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/9132-Dove-River-Rd-89134/home/29149201,GLVAR,2295558,N,Y,36.205088,-115.2944774
PAST SALE,March-4-2021,Single Family Residential,8822 Shamu Ct,Las Vegas,NV,89147,465000,5,3.0,Palomita,2426,6534,1995,217,192,,Sold,,,http://www.redfin.com/NV/Las-Vegas/8822-Shamu-Ct-89147/home/29553895,GLVAR,2257426,N,Y,36.1213379,-115.2838743
PAST SALE,August-24-2021,Single Family Residential,10220 Purple Primrose Dr,Las Vegas,NV,89141,360000,3,2.0,Desert Willows,1257,3920,2004,44,286,18,Sold,,,http://www.redfin.com/NV/Las-Vegas/10220-Purple-Primrose-Dr-89141/home/28997704,GLVAR,2315283,N,Y,36.0036981,-115.2313625
PAST SALE,July-2-2021,Single Family Residential,7452 Sunspot Dr,Las Vegas,NV,89128,380000,5,3.0,Tennington Ridge Phase 1-Amd,2046,4356,1993,97,186,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7452-Sunspot-Dr-89128/home/29197515,GLVAR,2284027,N,Y,36.181994,-115.254742
PAST SALE,August-31-2021,Single Family Residential,722 Shadwell St,Las Vegas,NV,89178,350000,3,2.5,Huntington Village A Rhodes Ranch,1671,2178,2007,37,209,48,Sold,,,http://www.redfin.com/NV/Las-Vegas/722-Shadwell-St-89178/home/29769056,GLVAR,2316809,N,Y,36.034752,-115.2996168
PAST SALE,May-18-2020,Single Family Residential,373 Santali,Henderson,NV,89014,305000,3,2.0,Emerald Point Unit 3,1690,5663,1986,507,180,,Sold,,,http://www.redfin.com/NV/Henderson/373-Santali-Ct-89014/home/29660955,GLVAR,2194034,N,Y,36.0538121,-115.0672417
